File,PuzzleIndex,GlobalIndex,Runtime(s),Memory(MB),NodesVisited,Backtracks,Success,TimedOut
easy.txt,1,1,0.013553,0.029259,0,0,True,False
easy.txt,2,2,0.023579,0.005013,0,0,True,False
easy.txt,3,3,10.749095,0.009487,1736,1718,True,False
easy.txt,4,4,0.010575,0.005013,0,0,True,False
easy.txt,5,5,0.095933,0.005760,18,7,True,False
easy.txt,6,6,30.005499,0.011219,4610,4596,False,True
easy.txt,7,7,0.176039,0.005386,24,24,False,False
easy.txt,8,8,0.315214,0.005360,56,56,False,False
easy.txt,9,9,0.010631,0.005013,0,0,True,False
easy.txt,10,10,0.039053,0.007050,11,0,True,False
medium.txt,1,11,0.010718,0.005013,0,0,True,False
medium.txt,2,12,0.010006,0.005013,0,0,True,False
medium.txt,3,13,21.002746,0.006229,3511,3511,False,False
medium.txt,4,14,1.184012,0.005978,178,178,False,False
medium.txt,5,15,10.343690,0.006496,1736,1718,True,False
medium.txt,6,16,0.013023,0.005440,0,0,True,False
medium.txt,7,17,0.118069,0.005573,18,14,True,False
medium.txt,8,18,0.117234,0.007504,36,10,True,False
medium.txt,9,19,0.260892,0.006542,56,34,True,False
medium.txt,10,20,0.020995,0.005013,0,0,True,False
hard.txt,1,21,30.001413,0.012360,4320,4301,False,True
hard.txt,2,22,4.337282,0.005627,684,684,False,False
hard.txt,3,23,30.005553,0.012894,4749,4726,False,True
hard.txt,4,24,30.003617,0.010914,4663,4647,False,True
hard.txt,5,25,0.079591,0.008053,31,0,True,False
hard.txt,6,26,30.003870,0.011997,4365,4345,False,True
hard.txt,7,27,0.067134,0.007465,24,0,True,False
hard.txt,8,28,30.004467,0.012436,4005,3985,False,True
hard.txt,9,29,0.083528,0.007225,30,0,True,False
hard.txt,10,30,0.133012,0.006516,33,11,True,False
