File,PuzzleIndex,GlobalIndex,Runtime(s),Memory(MB),NodesVisited,Backtracks,Success,TimedOut
easy.txt,1,1,0.072440,0.002457,37652,4157,True,False
easy.txt,2,2,0.003096,0.002335,1605,151,True,False
easy.txt,3,3,4.433315,0.002777,2020235,224438,True,False
easy.txt,4,4,0.000653,0.002151,307,9,True,False
easy.txt,5,5,0.098163,0.002640,48639,5373,True,False
easy.txt,6,6,13.983663,0.001862,7035597,781732,False,False
easy.txt,7,7,0.050019,0.001175,27144,3015,False,False
easy.txt,8,8,0.091050,0.001678,48447,5382,False,False
easy.txt,9,9,0.000643,0.002151,307,9,True,False
easy.txt,10,10,0.014144,0.002914,6463,684,True,False
medium.txt,1,11,0.000665,0.002151,307,9,True,False
medium.txt,2,12,0.001525,0.002243,701,52,True,False
medium.txt,3,13,30.003969,0.008823,15168111,1685330,False,True
medium.txt,4,14,0.027337,0.001024,5562,617,False,False
medium.txt,5,15,4.481006,0.002777,2020235,224438,True,False
medium.txt,6,16,0.071239,0.002457,37652,4157,True,False
medium.txt,7,17,0.304090,0.002686,145223,16105,True,False
medium.txt,8,18,0.003261,0.002975,1563,138,True,False
medium.txt,9,19,2.024967,0.002914,1007735,111937,True,False
medium.txt,10,20,0.003019,0.002335,1605,151,True,False
hard.txt,1,21,30.000561,0.009388,14716545,1635156,False,True
hard.txt,2,22,0.751741,0.002365,380916,42323,False,False
hard.txt,3,23,6.702717,0.001038,3779568,419951,False,False
hard.txt,4,24,30.003579,0.009106,15415555,1712823,False,True
hard.txt,5,25,0.090285,0.003143,44079,4861,True,False
hard.txt,6,26,30.002185,0.010517,14607266,1623012,False,True
hard.txt,7,27,30.002904,0.011364,13898678,1544278,False,True
hard.txt,8,28,30.010607,0.009106,13062080,1451329,False,True
hard.txt,9,29,0.016796,0.003189,7004,740,True,False
hard.txt,10,30,0.034898,0.003006,17093,1864,True,False
